idx,Title of the Solution,Type of the Solution,Affected Sector,Description of the solution,Socio-economic effects,Type of Measure--1. active measures (direct measures for reduction of air pollution),Type of Measure--2. policy/regulation measure,Type of Measure--3. mitigation measures,Type of Measure--4. awareness raising and knowladge sharing,Type of sub-measure--1. active measures (direct measures for reduction of air pollution),Type of sub-measure--2. policy/regulation measure,Type of sub-measure--3. mitigation measures,Type of sub-measure--4. awareness raising and knowladge sharing,Type of sub-measure--5. (none),Who led the solution--civil society organization,Who led the solution--environmental ngos,Who led the solution--households/individuals,Who led the solution--international development agencies,Who led the solution--international organization,Who led the solution--local government,Who led the solution--national government,Who led the solution--other,Who led the solution--other public institution,Who led the solution--private sector,Who led the solution--professional organization,Who led the solution--schools,Who led the solution--students,Who led the solution--teachers,Who led the solution--academia,Timescale of implementation--long-term (5 and above),Timescale of implementation--medium-term (2-4 years),Timescale of implementation--ongoing (data collection and advocacy are continuous processes),Timescale of implementation--short-term (up to 1 year),Timescale of implementation--varies,Other Notes,Location--1,Location--2,Location--3,Location--4,Location--5,Location--6,Location--7,Location--8,Location--9,Location--10,Location--11,Location--12,Location--13,Tags for the solution--1,Tags for the solution--2,Tags for the solution--3,Tags for the solution--4,Tags for the solution--5,SDG(s)--1,SDG(s)--2,SDG(s)--3,SDG(s)--4,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,location-5-lat,location-5-lng,location-6-lat,location-6-lng,location-7-lat,location-7-lng,location-8-lat,location-8-lng,location-9-lat,location-9-lng,location-10-lat,location-10-lng,location-11-lat,location-11-lng,location-12-lat,location-12-lng,location-13-lat,location-13-lng,auto_thematic-tag-1,auto_thematic-tag-2,auto_thematic-tag-3,auto_thematic-tag-4,auto_thematic-tag-5,auto_thematic-tag-6,auto_thematic-tag-7,auto_thematic-tag-8,auto_thematic-tag-9,auto_thematic-tag-10,auto_thematic-tag-11,auto_thematic-tag-12,auto_thematic-tag-13,auto_thematic-tag-14,auto_thematic-tag-15,auto_thematic-tag-16,auto_thematic-tag-17,auto_thematic-tag-18,auto_thematic-tag-19,auto_thematic-tag-20,auto_thematic-tag-21,auto_thematic-tag-22,auto_thematic-tag-23,auto_thematic-tag-24,auto_thematic-tag-25,auto_thematic-tag-26,auto_thematic-tag-27,auto_thematic-tag-28,auto_thematic-tag-29,auto_thematic-tag-30,auto_thematic-tag-31,auto_thematic-tag-32,auto_thematic-tag-33,auto_thematic-tag-34,auto_thematic-tag-35,auto_thematic-tag-36,auto_thematic-tag-37,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4
75,,Community Development/Economic Development,"Renewable Energy, Power Supply, Business","The festival aims to promote and develop renewable energy projects independently of state support in urban areas and beyond. It focuses on sharing successful, economically viable projects in solar, geothermal, and biomass energy. The event encourages entrepreneurs and activists to explore sustainable energy innovations and offers discussions on practical applications and cooperation without government involvement.","Promotes economic opportunities in renewable energy, reduces reliance on traditional energy sources, and fosters local innovation, initiatives coming from private and non-profic sectors minimizing reliance on the government funding.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://www.gns.center/projects





The event is led by the association ""Target Number Seven"" along with partnerships from the Heinrich B√∂ll Foundation in Russia and the international NGO 350.org.","55.7505412, 37.6174782",,,,,,,,,,,,,Renewable Energy,Entrepreneurship,Energy Independence.,,,Affordable and clean energy,Climate action,,,55.7505412,37.6174782,,,,,,,,,,,,,,,,,,,,,,,,,collaborative,planted,solar,cultivation,cooled,communautaire,collaboration,financières,ecological,developed,festival,ejecución,greenhouse,innovate,sun,potenciación,photo,participate,entrenamiento,business,craft,,,,,,,,,,,,,,,,,entrepreneurship,Energy Independence.,renewable energy,,,Climate action,Affordable and clean energy,,
76,,Community Engagement/Urban Planning,"Urban Planning, Environmental Conservation","The Forum aims to enhance urban sustainability through three main goals:

Educational Enhancement: Increasing citizen awareness about the importance and maintenance of urban greenery through ecological, biological, and legal education.


Collaborative Tools Development: Working with decision-makers to develop initiatives for preserving green spaces.


Community Consolidation: Building a unified network of organizations and individuals focused on the conservation of urban greenery, fostering stronger community involvement and resource sharing.


These objectives collectively promote sustainable urban development by emphasizing the preservation and importance of green spaces in Bishkek.","Enhances urban livability, promotes environmental awareness, and fosters community participation in sustainability initiatives as well as civil society and local government collaboration.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://kaktus.media/doc/375609_jashyl_upgrade._bishkekchane_rasskazali_merii_kak_sohranit_derevia.html

The organizers of the City Forum are the Public Foundation ‚ÄúArcha Initiative‚Äù together with partners youth eco-movement ‚ÄúMuvGreen‚Äù and international organization 350.org with the support of the Embassy of the United States of America in Kyrgyzstan and the Soros-Kyrgyzstan Foundation.

http://ekois.net/forum-zhashyl-upgrade/","42.8777895, 74.6066926",,,,,,,,,,,,,Civil Society Initiatie,Urban Forum,Urban Greening,Urban Green Spaces,Environmental Conservation,Sustainable cities and communities,Climate action,,,42.8777895,74.6066926,,,,,,,,,,,,,,,,,,,,,,,,,improving,neighborhood,participate,color,psychological,neighbourhood,sustainable,biowaste,country,municipales,socialize,thematic,complicated,problems,fundraising,easier,repurposed,problemes,charity,social,project,eco,colourful,ecological,solución,crafts,,,,,,,,,,,,Civil Society Initiatie,Urban Green Spaces,Environmental Conservation,Urban Forum,Urban Greening,Climate action,Sustainable cities and communities,,
77,The Quezon City interactive storybook project,"Educational, Community Engagement",Education,"The project aims to educate children on climate action, enhancing awareness and participation in sustainability efforts. This initiative creatively presents the city's climate policies through accessible formats like braille and audiobooks, ensuring inclusivity.","Raises climate awareness among youth, promotes inclusivity in education, supports informed future generations, empowers young citizens.",FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"C40 Cities and funded by the ICA Fund,
 more information in Quezon City Climate Change Action Plan
https://drive.google.com/file/d/1YXR6RdQyOM_GZY14mUTT8hQ_4kNs-sjG/view","14.6510546, 121.0486254",,,,,,,,,,,,,Climate Education,Youth Engagement,Sustainable Cities,Inclusive Learning,Environmental Awareness,Quality education,Sustainable cities and communities,Climate action,,14.6510546,121.0486254,,,,,,,,,,,,,,,,,,,,,,,,,керівник,publication,language,desktop,formalization,information,repurposed,share_link,day,project,collaborative,month,administration,municipales,inform,decades,improving,analyse,analyzed,neighborhood,translation,political,participate,bicicleta,efficient,politicians,neighbourhood,sustainable,older,huge,,,,,,,,Youth Engagement,Sustainable Cities,Climate Education,Environmental Awareness,Inclusive Learning,Quality education,Sustainable cities and communities,Climate action,
78,Low Emission Zones,"Policy, Infrastructure",Transport,"Milan's Low Emission Zones, ""Area C"" and ""Area B,"" are initiatives to reduce vehicular emissions and promote sustainable urban mobility. These zones regulate vehicle entry based on emissions, with stricter controls over time aiming for a fossil-free city center by 2030.","Enhances air quality, promotes healthier lifestyles, reduces traffic congestion, and incentivizes cleaner transportation methods.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Initiatives draws criticizm due to loopholes in the enforcement rules:

https://cleancitiescampaign.org/milan-finally-reopens-its-lezs-but-50-euros-a-year-will-buy-you-a-carte-blanche-for-polluting/","45.4641943, 9.1896346",,,,,,,,,,,,,Sustainable Mobility,Low Emission Zones,Urban Planning,Air Quality Improvement,CO2 Reduction,Good health and well-being,Sustainable cities and communities,Climate action,,45.4641943,9.1896346,,,,,,,,,,,,,,,,,,,,,,,,,launched,pour,roads,pollution,potenciación,clean,medicine,sustainable,entrenamiento,start,émissions,cooled,repurposed,et,health,ride,cartes,country,evaporating,cartographe,improving,ejecución,,,,,,,,,,,,,,,,Air Quality Improvement,Sustainable Mobility,Low Emission Zones,CO2 Reduction,Urban planning,Sustainable cities and communities,Climate action,Good health and well-being,
79,Raahgiri Day - a car-free days initiative,"Infrastructure development, Policy and planning",Transport,"Raahgiri Day is an urban movement in India aimed at promoting non-motorized transport by temporarily closing streets to vehicles and opening them up for people to engage in various activities. It emphasizes safe, inclusive, and sustainable urban mobility, encouraging walking, cycling, and community interaction.","Enhances community health and cooperation, reduces environmental pollution, and fosters a culture of sustainability and a more inclusive urban environment",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,Mitigation measures,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Drawing inspiration from the project implemented in Bogota, Columbia (covered by Rehab in an earlier entry) - Ciclov√≠a, or car-free Sundays. Similar to the case of Addis Ababa, initially led by community groups in Gurugram, the initiative now involves multiple stakeholders including local governments, NGOs, and citizen groups across various Indian cities.
https://thecityfix.com/blog/small-experiment-delhis-suburbs-sparked-national-car-free-movement-amit-bhatt/","28.4646148, 77.0299194",,,,,,,,,,,,,Sustainable Urban Mobility,Car-Free Days,Sustainable Cities,Community Engagement,Road Safety,Good health and well-being,Sustainable cities and communities,Climate action,,28.4646148,77.0299194,,,,,,,,,,,,,,,,,,,,,,,,,fundraising,publication,language,formalization,repurposed,collaboration,charity,day,liter,eco,ecological,month,larger,administration,municipales,blogs,decades,improving,neighborhood,translation,political,керівник,participate,politicians,neighbourhood,sustainable,older,huge,varieties,biowaste,,,,,,,,Sustainable Urban Mobility,Sustainable Cities,community engagement,Road Safety,Car-Free Days,Good health and well-being,Climate action,Sustainable cities and communities,
80,,"Infrastructure development, Policy and planning",Transport,"In Addis Ababa, the ""Menged Le Sewe"" initiative promotes sustainable urban mobility by organizing car-free days, encouraging activities like cycling and walking, and improving public spaces. This project involves local communities and government support to reshape urban transportation and enhance road safety and livability.","Enhances community health, reduces environmental pollution, and fosters a more inclusive urban environment.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Following the example initiative of Raahgiri Day in India.





Although the project was further developed by the local government with received support from the national govenment, too, the initial idea was birthed by local communnity.





Following Addis Ababa's example, other African cities have implemented similar initiatives, including Cape Town (South Africa), Kigali (Rwanda), Kampala (Uganda), and Nairobi (Kenya), demonstrating a broader regional commitment to sustainable mobility and urban wellness.





https://thecityfix.com/blog/reclaiming-streets-addis-ababa-african-cities-launch-car-free-days-iman-abubaker/","9.0358287, 38.7524127",,,,,,,,,,,,,Sustainable Urban Mobility,Car-Free Days,Community Engagement,Road Safety,Public Spaces,Good health and well-being,Sustainable cities and communities,Climate action,,9.0358287,38.7524127,,,,,,,,,,,,,,,,,,,,,,,,,accessible,ccaefebcadadcbd,disabilities,medicine,neighbourhood,sustainable,craft,improving,complicated,neighborhood,sdgs,participate,dcacafbdddbfec,والاجتماعية,choices,publication,reconstitution,africa,required,restrictions,repurposed,collaboration,health,sd,guide,assistance,country,municipales,réchauffement,blogs,,,,,,,,community engagement,Sustainable Urban Mobility,Car-Free Days,Road Safety,public spaces,Sustainable cities and communities,Good health and well-being,Climate action,
81,Project on changing mobility habits,"Infrastructure development, Policy and planning",Transport,"City of Modena aims to shift urban mobility from private car use to more sustainable methods like cycling and walking by 2030. It was developed through a collaborative process involving a task force of citizens and technicians, enhancing the strategy with direct user input. This inclusive approach has already led to the creation of safer, quieter areas, pedestrian zones, bike lanes, and shelters in the city's historical center. The city continues to explore ways to further encourage public and electric transport use.","Improves urban livability, promotes environmental sustainability, and actively involves the community in urban development decisions. RReduces traffic congestion and emissions, promotes health through active travel, and potentially decreases transportation costs for employees.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"The project encompasses varipus initiatives, one of the most interesting ones is The Workplace Mobility Plan - aims to shift employee travel behaviors towards more sustainable modes.  This plan involves direct engagement with municipal employees to encourage use of public transit, cycling, walking, and carpooling. It features initiatives like improved cycling infrastructure, secure bike storage, and optimized public transit routes to facilitate this transition.

https://programme2014-20.interreg-central.eu/Content.Node/Workplace-Mobility-Plan---Modena---Italy.html","44.5384728, 10.9359609",,,,,,,,,,,,,Urban Mobility,Sustainable Transportation,Citizen Engagement,Bike Lanes,Pedestrian Safety,Sustainable cities and communities,Climate action,,,44.5384728,10.9359609,,,,,,,,,,,,,,,,,,,,,,,,,worker,accessible,public,neighbourhood,sustainable,transport,business,biowaste,isolated,restrictions,instructors,repurposed,charity,ride,eco,ecological,municipales,travel,improving,communications,bike,fundraising,neighborhood,participate,,,,,,,,,,,,,,Urban Mobility,Bike Lanes,Pedestrian Safety,Citizen Engagement,Sustainable Transportation,Climate action,Sustainable cities and communities,,
82,,Technological,Transport,"The ANTISMOG project by Net Sas uses an innovative hydrogen-based technology to reduce emissions from combustion engines by up to 80%. This open-source technology enhances fuel combustion, leading to fewer emissions and improved engine efficiency.","Decreases vehicle emissions, enhances fuel efficiency, reduces maintenance costs.",FALSE,FALSE,Mitigation measure,FALSE,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"All the available materials cover the project at its early stage of commercialization, timescale is unclear, however in case of sucessful implementation the long-term timescale is likely.

https://www3.wipo.int/wipogreen/en/news/2020/news_0019.html","46.603354, 1.8883335",,,,,,,,,,,,,Clean Transportation,Emission Reduction,Hydrogen Technology,Sustainable Mobility,Climate Innovation.,Sustainable cities and communities,Climate action,,,46.603354,1.8883335,,,,,,,,,,,,,,,,,,,,,,,,,permits,publication,required,restrictions,innovationchallenge,retailers,repurposed,collaboration,problemes,sd,activités,project,financières,guide,solución,assistance,municipales,blogs,improving,complicated,vendors,problems,neighborhood,sdgs,regulations,participate,dcacafbdddbfec,choices,ccaefebcadadcbd,purchase,neighbourhood,actuellement,sustainable,entrenamiento,business,craft,,Hydrogen Technology,Emission Reduction,Clean Transportation,Sustainable Mobility,Climate Innovation.,Climate action,Sustainable cities and communities,,
83,The Gecoair App,Technological,Transport,"A mobile application designed to help car drivers reduce the environmental impact of their journeys. It acts as a barometer of clean mobility by providing real-time feedback on emissions (CO2, NOx, fine particles, carbon monoxide) and offering guidance on eco-responsible driving practices. The app encourages the use of sustainable transport modes and has achieved significant engagement with over 40,000 downloads and 80 million km tracked, showing a potential 20% variation in CO2 emissions based on driving habits.","By encouraging eco-friendly driving habits, Gecoair contributes to reduced environmental impact and potential cost savings for users. It also supports public health by aiming to decrease harmful emissions in urban areas.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"developed by IFPEN (Institut Fran√ßais du P√©trole √ânergies Nouvelles) with support from Ademe (the French Environment and Energy Management Agency)

https://www.ifpenergiesnouvelles.com/innovation-and-industry/our-expertise/sustainable-mobility/connected-mobility/our-solutions","46.603354, 1.8883335",,,,,,,,,,,,,Sustainable Mobility,Emission Reduction,Eco-driving,Mobile Application,Urban Sustainability,Sustainable cities and communities,Climate action,,,46.603354,1.8883335,,,,,,,,,,,,,,,,,,,,,,,,,neighbourhood,huge,biowaste,керівник,participate,accessible,public,efficient,stay,threats,publication,language,isolated,big,harm,formalization,restrictions,repurposed,share_link,ride,regions,collaborative,eco,ecological,improve,improving,preserve,bike,neighborhood,translation,,,,,,,,Emission Reduction,Urban Sustainability,mobile application,Eco-driving,Sustainable Mobility,Sustainable cities and communities,Climate action,,
84,"The ADB's ""Tackling Air Pollution in Bishkek"": Waste Management Modernization",Policy/Infrastructure,Households,"This project aims to improve waste management practices to reduce the burning of solid waste, which contributes to air pollution.","Reduces environmental pollution, improves urban health conditions, enhance the livability and attractiveness of affected areas of Bishkek for residents and businesses.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Details: p.9 of the document.
Partnership: led by a combination of national and local government agencies, possibly in collaboration with international organizations like the Asian Development Bank (ADB), GIZ, UN agencies","42.8777895, 74.6066926",,,,,,,,,,,,,Waste Management,Air Pollution Reduction,Solid Waste,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,42.8777895,74.6066926,,,,,,,,,,,,,,,,,,,,,,,,,والاجتماعية,countries,harm,required,restrictions,collaboration,day,collaborative,month,country,administration,improve,decades,asian,political,regulations,participate,purchase,politicians,threats,older,,,,,,,,,,,,,,,,,waste management,Solid Waste,Air Pollution Reduction,,,,,,
85,"The ADB's ""Tackling Air Pollution in Bishkek"": Residential Heating Upgrade",Technological/Policy,Households,This initiative focuses on replacing traditional heating methods with more sustainable alternatives to reduce air pollution from residential heating.,"Improves air quality, reduces health risks, potentially lowers heating costs.",FALSE,FALSE,Mitigation measure,FALSE,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Details: p.6 of the document.
Partnership: led by a combination of national and local government agencies, possibly in collaboration with international organizations like the Asian Development Bank (ADB), GIZ, UN agencies","42.8777895, 74.6066926",,,,,,,,,,,,,Air Quality Management,Urban Sustainability,Residential Heating,Pollution Control,Residential Heating,Sustainable cities and communities,Climate action,,,42.8777895,74.6066926,,,,,,,,,,,,,,,,,,,,,,,,,varieties,والاجتماعية,purchase,threats,entrenamiento,older,huge,populated,countries,language,demographics,harm,formalization,émissions,innovationchallenge,cooled,collaboration,excels,day,project,liter,collaborative,month,observations,larger,country,improve,measuring,decades,analyse,translation,asian,pollution,керівник,participate,,,Pollution Control,Urban Sustainability,Air Quality Management,Residential Heating,,Climate action,Sustainable cities and communities,,
86,QYZPU's Project On Plant Cultivation,"Research, Urban and Environmental Planning",Improve Air Quality,"The project by scientists from QYZPU in Almaty, Kazakhstan, focuses on improving urban air quality through the cultivation of plants that can absorb harmful substances. This green initiative will be implemented in densely populated areas of Almaty after coordinating with local authorities.","Aims to improve air quality and public health in Almaty, creating green spaces that serve as natural air filters.",FALSE,FALSE,Mitigation measure,FALSE,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Partnership between local and national government and a public university. The implementation timescale is not clear as the project is still in development.,"43.2363924, 76.9457275",,,,,,,,,,,,,Air Quality Improvement,Urban Greening,Environmental Health,Sustainable Cities,Pollution Control,Sustainable cities and communities,Climate action,,,43.2363924,76.9457275,,,,,,,,,,,,,,,,,,,,,,,,,public,populated,educational,isolated,demographics,harm,restrictions,émissions,instructors,designing,innovationchallenge,cooled,day,project,month,developed,tomorrow,administration,improve,decades,analyse,analyzed,experiments,pollution,political,participate,institutions,accessible,politicians,threats,older,craft,,,,,,Environmental Health,Pollution Control,Air Quality Improvement,Urban Greening,Sustainable Cities,Climate action,Sustainable cities and communities,,
87,Envinity Group's Outdoor Air Cleaner,Technology,Improve Air Quality,"The Giant Dutch Vacuum Cleaner, developed by Envinity Group, is designed to significantly improve air quality by filtering out fine particulate matter from the urban atmosphere. It can clean more than 280,000 cubic feet of air per hour, capturing 100% of fine particles and 95% of ultra-fine particles, which are known to be harmful to human health.","By improving air quality, the project aims to enhance public health and reduce the health-related costs associated with air pollution.",FALSE,FALSE,Mitigation measure,FALSE,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"The implementation timescale is not clear, as would depend on factors such as local government approvals, funding, and logistical considerations specific to each urban area.

https://envinitygroup.com/

https://www.fastcompany.com/3065052/this-giant-dutch-vacuum-cleaner-sucks-pollution-out-of-the-sky

https://www.weforum.org/agenda/2016/11/air-pollution-giant-vacuum-cleaner-envinity/","52.2476498, 5.5412468",,,,,,,,,,,,,Air Purification,Pollution Control,Urban Sustainability,Environmental Technology,Clean Air Solutions,Sustainable cities and communities,Climate action,,,52.2476498,5.5412468,,,,,,,,,,,,,,,,,,,,,,,,,accessible,financial,improving,analyse,neighborhood,pollution,political,participate,populated,contexte,qualitative,isolated,demographics,easier,harm,restrictions,émissions,desired,cooled,excels,money,business,threats,neighbourhood,politicians,public,problemes,day,financières,feasible,observations,tomorrow,administration,municipales,improve,measuring,purchase,Urban Sustainability,Environmental Technology,Clean Air Solutions,Air Purification,Pollution Control,Climate action,Sustainable cities and communities,,
88,Smog Eating Billboard project,Technological/Environmental Innovation,Improve Air Quality,"The Smog Eating Billboard project in Monterrey, developed by UDEM students with Daan Roosegaarde, applies photocatalytic coatings to billboards to purify urban air. This innovative approach cleans the air equivalent to the work of 30 trees every six hours and has the potential to significantly reduce air pollution in densely populated and visually polluted urban environments.","Improves urban air quality, enhances public health, and utilizes existing infrastructure for environmental benefits.",FALSE,FALSE,Mitigation measure,FALSE,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"The initiative is the successor of the The Smog Free Project by the same buro, executed in partnership with an educational institution.","25.6802019, -100.315258",,,,,,,,,,,,,Air Quality Improvement,Urban Innovation,Photocatalysis,Pollution Reduction,Sustainable Cities,Sustainable cities and communities,Climate action,,,25.6802019,-100.315258,,,,,,,,,,,,,,,,,,,,,,,,,threats,older,biowaste,craft,child,participate,educators,educational,benefit,demographics,harm,instructors,innovationchallenge,desired,collaboration,excels,charity,day,project,motivation,mothers,collaborative,eco,ecological,month,observations,improve,measuring,decades,improving,analyse,fundraising,,,,,,Air Quality Improvement,pollution reduction,Sustainable Cities,Urban Innovation,Photocatalysis,Climate action,Sustainable cities and communities,,
89,Smog Free Project: Smog Free Tower,"Technology, Education",Improve Air Quality,"The Smog Free Project, led by Daan Roosegaarde, is an innovative environmental initiative that includes the Smog Free Tower, the world's first smog vacuum cleaner. This project aims to improve urban air quality by creating zones of clean air in public spaces, and it engages communities through educational campaigns and collaborative design workshops.","Enhances urban livability by improving air quality, raises environmental awareness, and fosters community engagement in sustainability practices.",FALSE,FALSE,Mitigation measure,FALSE,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The agency that developed the project has growing clientele from contried beyond The Netherlands,"51.9244424, 4.47775",,,,,,,,,,,,,Air Quality Improvement,Environmental Innovation,Sustainable Cities,Urban Design,Pollution Control,Sustainable cities and communities,Climate action,,,51.9244424,4.47775,,,,,,,,,,,,,,,,,,,,,,,,,developed,planted,easier,harm,innovationchallenge,cultivation,repurposed,project,financières,eco,ecological,improve,married,improving,complicated,clean,participate,engagement,purchase,practice,threats,sustainable,entrenamiento,business,biowaste,craft,,,,,,,,,,,,Environmental Innovation,Air Quality Improvement,Sustainable Cities,Urban Design,Pollution Control,Sustainable cities and communities,Climate action,,
90,,"Federal and Regional Regulations, State and Regional Policy",Industry,"The ""Clean Air"" project, part of Russia's national ecological initiatives, aims to significantly reduce air pollution in the largest urban areas by enhancing federal and regional regulations and technological upgrades in industrial centres of the country (tagets a number of cities and regions that host the pollution-intensive production facilities). Incluses such steps as modernization of industrial enterprises and existing boiler houses, conversion of heating in private households from coal to more environmentally friendly fuel, launch of public transport using electricity and NGV fuel.","Improves public health by reducing harmful emissions, potentially decreases healthcare costs, and enhances quality of life in urban areas with stong industrial sector activity",FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"http://government.ru/info/35569/

https://unece.org/sites/default/files/2021-04/Presentation%20-%20RU%20Clean%20Air%20Project%20260421.pdf

http://static.government.ru/media/files/7jHqkjTiGwAqKSgZP2LosFTpKo66kEu2.pdf","56.1517085, 101.6334907","56.0091173, 92.872586","52.6935178, 39.1122664","53.4242184, 58.983136","51.4049435, 57.5803138","57.905149, 59.9508466","53.7575903, 87.1358494","69.3444054, 88.2096151","54.991375, 73.371529","55.1598408, 61.4025547","59.128696, 37.916389","52.033409, 113.500893",,Air Quality Improvement,Urban Sustainability,Pollution Reduction,Industrial Regulation,Environmental Policy,Sustainable cities and communities,Climate action,,,53.7575903,87.1358494,59.128696,37.916389,52.6935178,39.1122664,51.4049435,57.5803138,53.4242184,58.983136,57.905149,59.9508466,55.1598408,61.4025547,54.991375,73.371529,69.3444054,88.2096151,56.0091173,92.872586,56.1517085,101.6334907,52.033409,113.500893,,,craft,choices,ccaefebcadadcbd,purchase,politicians,neighbourhood,business,biowaste,populated,publication,demographics,émissions,retailers,cooled,collaboration,problemes,sd,project,financières,guide,eco,ecological,solución,assistance,administration,municipales,blogs,complicated,vendors,problems,neighborhood,sdgs,pollution,political,participate,dcacafbdddbfec,,Industrial Regulation,Air Quality Improvement,Urban Sustainability,Environmental Policy,pollution reduction,Sustainable cities and communities,Climate action,,
